Herbicide scenario	year	mean.10	min.10	max.10	mean.10_20	min.10_20	max.10_20	mean.20_30	min.20_30	max.20_30	mean.30_40	min.30_40	max.30_40	mean.40_50	min.40_50	max.40_50	mean.50	min.50	max.50
0	1	25	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	25	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	25	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	30	0	7	0	0	20	0	0	3	0	0	0	0	0	0	0	0	0
1	2	30	0	10	0	0	13	0	0	7	0	0	0	0	0	0	0	0	0
2	2	30	0	11	0	0	15	0	0	4	0	0	0	0	0	0	0	0	0
0	3	30	0	0	0	0	21	0	0	8	0	0	1	0	0	0	0	0	0
1	3	30	0	8	0	0	21	0	0	1	0	0	0	0	0	0	0	0	0
2	3	30	0	0	0	0	19	0	0	6	0	0	5	0	0	0	0	0	0
0	4	30	0	0	0	0	9	0	0	20	0	0	1	0	0	0	0	0	0
1	4	30	0	1	0	0	16	0	0	8	0	0	5	0	0	0	0	0	0
2	4	30	0	3	0	0	9	0	0	18	0	0	0	0	0	0	0	0	0
0	5	30	0	0	0	0	4	0	0	5	0	0	17	0	0	4	0	0	0
1	5	30	0	0	0	0	12	0	0	18	0	0	0	0	0	0	0	0	0
2	5	30	0	0	0	0	18	0	0	10	0	0	2	0	0	0	0	0	0
0	6	30	0	1	0	0	16	0	0	13	0	0	0	0	0	0	0	0	0
1	6	30	0	0	0	0	9	0	0	18	0	0	3	0	0	0	0	0	0
2	6	30	0	0	0	0	15	0	0	14	0	0	1	0	0	0	0	0	0
0	7	30	0	4	0	0	19	0	0	7	0	0	0	0	0	0	0	0	0
1	7	30	0	7	0	0	16	0	0	7	0	0	0	0	0	0	0	0	0
2	7	30	0	1	0	0	21	0	0	4	0	0	3	0	0	1	0	0	0
0	8	30	0	4	0	0	14	0	0	8	0	0	4	0	0	0	0	0	0
1	8	30	0	2	0	0	25	0	0	3	0	0	0	0	0	0	0	0	0
2	8	30	0	0	0	0	9	0	0	21	0	0	0	0	0	0	0	0	0
0	9	30	0	0	0	0	9	0	0	17	0	0	4	0	0	0	0	0	0
1	9	30	0	4	0	0	9	0	0	15	0	0	2	0	0	0	0	0	0
